epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6990.86,1.93465,1.5865,1.31785,0.37565,0.31913,0.25253,0.09531,2.36201,2.11784,1.59329,0.0017294,0.0017294,0.0017294
43,7109.93,1.94894,1.54659,1.3082,0.40481,0.33298,0.28211,0.10397,2.35484,2.16066,1.62239,0.0017228,0.0017228,0.0017228
44,7229.35,1.94622,1.58996,1.30845,0.40892,0.25852,0.21895,0.08196,2.4049,2.28731,1.60585,0.0017162,0.0017162,0.0017162
45,7348.63,1.97737,1.60266,1.32851,0.3482,0.30019,0.22712,0.08417,2.40731,2.19937,1.61919,0.0017096,0.0017096,0.0017096
46,7468.46,1.94902,1.58225,1.3279,0.37034,0.2642,0.21429,0.07757,2.42848,2.31859,1.63148,0.001703,0.001703,0.001703
47,7587.79,1.94091,1.55392,1.31837,0.40795,0.30019,0.25935,0.10156,2.36412,2.21429,1.58387,0.0016964,0.0016964,0.0016964
48,7707.66,1.89506,1.50439,1.29643,0.43773,0.31629,0.27309,0.09866,2.40323,2.12507,1.58752,0.0016898,0.0016898,0.0016898
49,7827.48,1.87862,1.47178,1.27481,0.40065,0.31534,0.25799,0.09116,2.43198,2.22966,1.63221,0.0016832,0.0016832,0.0016832
50,7946.85,1.91269,1.52267,1.30046,0.43381,0.3286,0.26713,0.09838,2.34744,2.21481,1.60564,0.0016766,0.0016766,0.0016766
51,8066.32,1.82147,1.44215,1.27827,0.41325,0.29735,0.24989,0.09234,2.33862,2.17562,1.61962,0.00167,0.00167,0.00167
52,8186.01,1.83417,1.41517,1.2527,0.39491,0.29789,0.23293,0.08424,2.38952,2.28956,1.61504,0.0016634,0.0016634,0.0016634
53,8306.44,1.89229,1.51908,1.29305,0.38566,0.31913,0.24606,0.09077,2.33125,2.11783,1.62998,0.0016568,0.0016568,0.0016568
54,8426.31,1.83589,1.46996,1.25174,0.41462,0.29167,0.23756,0.08155,2.39109,2.35539,1.62222,0.0016502,0.0016502,0.0016502
55,8545.85,1.85718,1.48947,1.25886,0.44868,0.32386,0.27461,0.10066,2.35304,2.10133,1.61636,0.0016436,0.0016436,0.0016436
56,8664.83,1.8513,1.45769,1.25527,0.42653,0.33807,0.28393,0.11102,2.3617,2.0628,1.61657,0.001637,0.001637,0.001637
57,8784.56,1.8566,1.49253,1.26206,0.41599,0.31818,0.27866,0.10397,2.31393,2.23181,1.61163,0.0016304,0.0016304,0.0016304
58,8903.51,1.83622,1.40317,1.2435,0.39661,0.31629,0.26454,0.09753,2.37816,2.2579,1.64572,0.0016238,0.0016238,0.0016238
59,9021.85,1.81337,1.38127,1.23425,0.44255,0.34659,0.28537,0.10578,2.34719,2.04219,1.62133,0.0016172,0.0016172,0.0016172
60,9140.24,1.83124,1.39262,1.24234,0.39584,0.33938,0.26135,0.0996,2.33598,2.1554,1.64224,0.0016106,0.0016106,0.0016106
61,9259,1.828,1.41337,1.25078,0.39537,0.34091,0.27033,0.10441,2.3551,2.13109,1.66768,0.001604,0.001604,0.001604
62,9378.28,1.79466,1.37491,1.25428,0.3794,0.32481,0.24836,0.0912,2.39148,2.18327,1.57592,0.0015974,0.0015974,0.0015974
63,9495.69,1.82228,1.38986,1.2417,0.39395,0.33617,0.27146,0.1011,2.38152,2.07696,1.63386,0.0015908,0.0015908,0.0015908
64,9614.27,1.79221,1.35174,1.27685,0.38392,0.31629,0.26025,0.09692,2.37877,2.17687,1.65475,0.0015842,0.0015842,0.0015842
65,9733.7,1.77626,1.38353,1.21915,0.39507,0.32008,0.26298,0.0957,2.40084,2.12015,1.61131,0.0015776,0.0015776,0.0015776
66,9853.55,1.8562,1.35178,1.24145,0.41777,0.32765,0.2618,0.09787,2.39303,2.14094,1.59623,0.001571,0.001571,0.001571
67,9971.95,1.74527,1.29259,1.23054,0.46793,0.32102,0.27697,0.10771,2.35461,2.10071,1.58007,0.0015644,0.0015644,0.0015644
68,10090.1,1.77005,1.3322,1.21849,0.4173,0.27178,0.22062,0.08257,2.48586,2.22433,1.66044,0.0015578,0.0015578,0.0015578
69,10209.1,1.79372,1.36466,1.2346,0.42961,0.31818,0.25723,0.09741,2.36127,2.15034,1.60663,0.0015512,0.0015512,0.0015512
70,10328.3,1.74482,1.30165,1.23665,0.45381,0.30871,0.272,0.10096,2.36404,2.10198,1.59785,0.0015446,0.0015446,0.0015446
71,10448.6,1.74757,1.32749,1.19751,0.49714,0.26042,0.25593,0.09846,2.35402,2.29004,1.6206,0.001538,0.001538,0.001538
72,10568.6,1.73253,1.30533,1.21241,0.45081,0.32481,0.27915,0.1079,2.31747,2.15245,1.66313,0.0015314,0.0015314,0.0015314
73,10688.6,1.72463,1.32144,1.21219,0.39893,0.33239,0.27436,0.10736,2.35835,2.09091,1.64323,0.0015248,0.0015248,0.0015248
74,10808.6,1.7506,1.32577,1.20388,0.39646,0.27121,0.22957,0.08804,2.41776,2.33032,1.58942,0.0015182,0.0015182,0.0015182
75,10928.2,1.76132,1.30527,1.20531,0.39084,0.34754,0.2694,0.10337,2.3807,2.13519,1.69239,0.0015116,0.0015116,0.0015116
76,11047.3,1.68308,1.26988,1.19507,0.44707,0.2983,0.26051,0.09701,2.42745,2.18846,1.68092,0.001505,0.001505,0.001505
77,11167.6,1.70393,1.29625,1.20812,0.39303,0.29249,0.2458,0.09211,2.36443,2.25037,1.60782,0.0014984,0.0014984,0.0014984
78,11286.8,1.73593,1.32321,1.19524,0.41266,0.30398,0.25857,0.09863,2.39611,2.15341,1.62941,0.0014918,0.0014918,0.0014918
79,11406.7,1.71943,1.2442,1.18483,0.43619,0.31913,0.283,0.10177,2.37082,2.12834,1.64219,0.0014852,0.0014852,0.0014852
80,11526.4,1.71484,1.27246,1.18209,0.442,0.33428,0.29394,0.11043,2.36154,2.0437,1.62992,0.0014786,0.0014786,0.0014786
81,11645.5,1.68765,1.24472,1.1868,0.43499,0.2983,0.26865,0.09956,2.39992,2.38877,1.67559,0.001472,0.001472,0.001472
82,11765,1.70865,1.24662,1.1828,0.44449,0.31061,0.27076,0.09793,2.42313,2.19271,1.65474,0.0014654,0.0014654,0.0014654
83,11885.1,1.69113,1.20431,1.19246,0.42749,0.31155,0.26498,0.10215,2.35901,2.19981,1.58764,0.0014588,0.0014588,0.0014588
84,12004.9,1.74544,1.25735,1.17574,0.4084,0.32102,0.2596,0.09631,2.44118,2.17756,1.64656,0.0014522,0.0014522,0.0014522
85,12124.8,1.71534,1.22454,1.18716,0.42295,0.33902,0.27537,0.10838,2.3597,2.10604,1.58364,0.0014456,0.0014456,0.0014456
86,12244.6,1.70841,1.21253,1.17604,0.47726,0.30492,0.28137,0.10944,2.34734,2.09572,1.61334,0.001439,0.001439,0.001439
87,12364.3,1.66961,1.20584,1.17078,0.42207,0.3267,0.27621,0.10739,2.36477,2.11021,1.67506,0.0014324,0.0014324,0.0014324
88,12483.7,1.66608,1.19335,1.16328,0.44387,0.32008,0.28349,0.10815,2.41225,2.08405,1.69061,0.0014258,0.0014258,0.0014258
89,12604.2,1.6299,1.16303,1.15201,0.42328,0.31439,0.25794,0.09547,2.48006,2.16587,1.64716,0.0014192,0.0014192,0.0014192
90,12723.7,1.62367,1.20189,1.15826,0.42008,0.29356,0.2397,0.0872,2.44523,2.26994,1.61721,0.0014126,0.0014126,0.0014126
91,12843.6,1.64427,1.19148,1.1405,0.43296,0.31345,0.26694,0.10063,2.40854,2.1589,1.64314,0.001406,0.001406,0.001406
92,12963.2,1.65738,1.18898,1.16564,0.41905,0.3428,0.27635,0.10403,2.38031,2.10316,1.66325,0.0013994,0.0013994,0.0013994
93,13083.1,1.6382,1.18101,1.16144,0.43561,0.30019,0.25296,0.0995,2.35527,2.19647,1.68078,0.0013928,0.0013928,0.0013928
94,13202.7,1.59976,1.14489,1.13235,0.41752,0.32765,0.2655,0.1039,2.38231,2.12969,1.66862,0.0013862,0.0013862,0.0013862
