epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,23851.7,1.25412,0.79491,0.99019,0.44013,0.30114,0.25138,0.0947,2.44818,2.325,1.67173,0.0007988,0.0007988,0.0007988
184,23971.4,1.27477,0.8149,1.00108,0.45205,0.27936,0.25181,0.09804,2.46036,2.45786,1.66594,0.0007922,0.0007922,0.0007922
185,24090.8,1.27045,0.79406,0.99474,0.41169,0.30303,0.25678,0.10277,2.42589,2.47867,1.71055,0.0007856,0.0007856,0.0007856
186,24210.6,1.23069,0.77967,0.98924,0.44433,0.32292,0.28139,0.11277,2.44804,2.35728,1.74542,0.000779,0.000779,0.000779
187,24330.1,1.25753,0.79127,0.99634,0.43604,0.31155,0.26025,0.10167,2.46746,2.43589,1.7488,0.0007724,0.0007724,0.0007724
188,24449.8,1.22339,0.78902,0.98854,0.45615,0.28504,0.24789,0.09575,2.45785,2.52577,1.72215,0.0007658,0.0007658,0.0007658
189,24569.7,1.26269,0.8011,0.98897,0.51477,0.28788,0.26571,0.10141,2.41316,2.44894,1.66349,0.0007592,0.0007592,0.0007592
190,24689.4,1.27576,0.82983,1.02134,0.47453,0.28562,0.24971,0.09359,2.4994,2.40115,1.72519,0.0007526,0.0007526,0.0007526
191,24809.1,1.23791,0.77965,0.98553,0.43371,0.32102,0.26084,0.10142,2.47901,2.36898,1.73581,0.000746,0.000746,0.000746
192,24928.7,1.23792,0.77191,0.98765,0.429,0.2803,0.23913,0.0935,2.43746,2.48939,1.72364,0.0007394,0.0007394,0.0007394
193,25048.9,1.2207,0.76753,0.9825,0.42585,0.2978,0.26198,0.10533,2.41606,2.46767,1.72692,0.0007328,0.0007328,0.0007328
194,25167.7,1.25439,0.77997,0.99267,0.45075,0.31061,0.26888,0.10395,2.44184,2.3318,1.73731,0.0007262,0.0007262,0.0007262
195,25286.9,1.22366,0.79899,0.99022,0.47893,0.30303,0.26322,0.09981,2.4598,2.39619,1.70269,0.0007196,0.0007196,0.0007196
196,25405.7,1.19145,0.7661,0.9696,0.44085,0.31723,0.27212,0.1065,2.43664,2.3489,1.69472,0.000713,0.000713,0.000713
197,25524.1,1.21907,0.77651,0.98969,0.47651,0.31155,0.27663,0.11007,2.40971,2.3887,1.69714,0.0007064,0.0007064,0.0007064
198,25643.2,1.21247,0.77115,0.98026,0.44509,0.28977,0.25553,0.10186,2.42146,2.47781,1.69489,0.0006998,0.0006998,0.0006998
199,25761.8,1.2022,0.74485,0.97541,0.45889,0.31345,0.27493,0.11089,2.3897,2.36195,1.70772,0.0006932,0.0006932,0.0006932
200,25880.9,1.20645,0.76564,0.98764,0.46292,0.30281,0.27339,0.11052,2.40865,2.36588,1.70323,0.0006866,0.0006866,0.0006866
201,26000.3,1.20549,0.76064,0.97199,0.46983,0.30682,0.27795,0.11301,2.4133,2.296,1.69274,0.00068,0.00068,0.00068
202,26120.1,1.16234,0.73712,0.97379,0.46502,0.31913,0.27914,0.11099,2.45449,2.27687,1.69741,0.0006734,0.0006734,0.0006734
203,26239.7,1.18757,0.74455,0.97741,0.43961,0.28788,0.26114,0.10448,2.42232,2.44884,1.6472,0.0006668,0.0006668,0.0006668
204,26358.4,1.19941,0.75351,0.973,0.47316,0.31893,0.28071,0.11288,2.39114,2.31892,1.64964,0.0006602,0.0006602,0.0006602
205,26478.2,1.21222,0.76053,0.97159,0.48982,0.26799,0.26216,0.1081,2.40578,2.51751,1.67013,0.0006536,0.0006536,0.0006536
206,26597.1,1.20899,0.76764,0.97146,0.45314,0.28883,0.25038,0.09914,2.37885,2.51593,1.66708,0.000647,0.000647,0.000647
207,26716.8,1.21009,0.75145,0.98552,0.44823,0.30019,0.25534,0.10568,2.40397,2.45492,1.69386,0.0006404,0.0006404,0.0006404
208,26835.8,1.20624,0.74032,0.96127,0.44043,0.28977,0.25458,0.09837,2.42299,2.43186,1.68081,0.0006338,0.0006338,0.0006338
209,26954.3,1.16511,0.71208,0.96883,0.46293,0.31099,0.27555,0.11194,2.3744,2.33339,1.69309,0.0006272,0.0006272,0.0006272
210,27073,1.1901,0.74977,0.96826,0.43205,0.30114,0.26684,0.10853,2.40404,2.46767,1.6686,0.0006206,0.0006206,0.0006206
211,27193.1,1.21437,0.77539,0.97968,0.39882,0.31723,0.24697,0.09361,2.47676,2.5419,1.7162,0.000614,0.000614,0.000614
212,27312.6,1.1788,0.7392,0.96171,0.44409,0.2852,0.25864,0.10195,2.41568,2.46481,1.67579,0.0006074,0.0006074,0.0006074
213,27432.3,1.16972,0.72371,0.97039,0.40825,0.34038,0.2745,0.1081,2.41876,2.36504,1.68855,0.0006008,0.0006008,0.0006008
214,27552.2,1.16249,0.70866,0.96177,0.43025,0.30208,0.25791,0.10318,2.41426,2.52356,1.67873,0.0005942,0.0005942,0.0005942
215,27672.5,1.1554,0.7326,0.96227,0.468,0.30019,0.26363,0.10136,2.4569,2.46345,1.70883,0.0005876,0.0005876,0.0005876
216,27792.2,1.16893,0.74302,0.96491,0.44125,0.28409,0.24373,0.09313,2.49887,2.57196,1.70938,0.000581,0.000581,0.000581
217,27912.5,1.1787,0.73382,0.96089,0.47108,0.28977,0.26372,0.10425,2.47876,2.53282,1.68946,0.0005744,0.0005744,0.0005744
218,28032.5,1.1526,0.72754,0.96264,0.46638,0.31155,0.27719,0.11037,2.44682,2.33288,1.71537,0.0005678,0.0005678,0.0005678
219,28152.3,1.14903,0.71112,0.95828,0.43292,0.31375,0.26078,0.1044,2.45716,2.40969,1.73203,0.0005612,0.0005612,0.0005612
220,28272,1.13585,0.73066,0.96364,0.47341,0.2964,0.26317,0.10649,2.42898,2.48909,1.69543,0.0005546,0.0005546,0.0005546
221,28392.2,1.14582,0.7291,0.9644,0.51418,0.27557,0.26047,0.10308,2.45039,2.45921,1.70294,0.000548,0.000548,0.000548
222,28512.6,1.11152,0.70102,0.94898,0.48628,0.29924,0.25939,0.10024,2.43801,2.42708,1.70037,0.0005414,0.0005414,0.0005414
223,28632.9,1.12696,0.70541,0.96559,0.45357,0.31723,0.27052,0.10648,2.42015,2.30811,1.70232,0.0005348,0.0005348,0.0005348
224,28751.9,1.1511,0.71357,0.94163,0.45181,0.31818,0.26059,0.10551,2.42238,2.38948,1.69308,0.0005282,0.0005282,0.0005282
225,28872.5,1.14749,0.70811,0.96353,0.44634,0.2964,0.25558,0.10228,2.44259,2.47993,1.71019,0.0005216,0.0005216,0.0005216
226,28992,1.13492,0.70268,0.9576,0.44052,0.31061,0.25787,0.10026,2.45375,2.42186,1.69731,0.000515,0.000515,0.000515
227,29111.9,1.11121,0.68214,0.95375,0.45043,0.31345,0.26509,0.1064,2.41893,2.45697,1.67794,0.0005084,0.0005084,0.0005084
228,29231.4,1.10025,0.68353,0.95078,0.42681,0.32102,0.26452,0.10961,2.39264,2.41632,1.67919,0.0005018,0.0005018,0.0005018
229,29351.5,1.10579,0.6843,0.9464,0.46799,0.28125,0.25463,0.10305,2.43781,2.48575,1.70067,0.0004952,0.0004952,0.0004952
230,29470.7,1.10842,0.6843,0.93544,0.4866,0.26388,0.24584,0.09801,2.45797,2.62732,1.69439,0.0004886,0.0004886,0.0004886
231,29590.1,1.1296,0.72127,0.94219,0.49082,0.29028,0.27156,0.11181,2.41558,2.46705,1.69341,0.000482,0.000482,0.000482
232,29709.8,1.12026,0.69549,0.94978,0.47952,0.30587,0.2653,0.10351,2.44174,2.38512,1.69774,0.0004754,0.0004754,0.0004754
233,29831.9,1.11646,0.69531,0.95043,0.4453,0.3125,0.257,0.09877,2.45585,2.49346,1.70718,0.0004688,0.0004688,0.0004688
234,29951.5,1.09482,0.67316,0.94382,0.44497,0.29167,0.25134,0.0984,2.44031,2.54948,1.69784,0.0004622,0.0004622,0.0004622
235,30070.4,1.09354,0.6834,0.95178,0.48473,0.28409,0.26627,0.10875,2.41271,2.47587,1.69846,0.0004556,0.0004556,0.0004556
236,30189.7,1.08233,0.65629,0.93422,0.45994,0.29356,0.26157,0.10898,2.38913,2.51716,1.66679,0.000449,0.000449,0.000449
237,30310.4,1.13097,0.68561,0.94038,0.47236,0.29586,0.26044,0.1071,2.37527,2.42473,1.64815,0.0004424,0.0004424,0.0004424
238,30430.4,1.12085,0.68797,0.9458,0.47452,0.26989,0.2546,0.09964,2.4285,2.51971,1.69295,0.0004358,0.0004358,0.0004358
239,30550.6,1.11411,0.68195,0.94423,0.43888,0.28693,0.25389,0.10156,2.41904,2.56916,1.68499,0.0004292,0.0004292,0.0004292
240,30669.9,1.06787,0.6804,0.942,0.44932,0.29924,0.27003,0.10865,2.42086,2.55482,1.69166,0.0004226,0.0004226,0.0004226
241,30789.5,1.11457,0.69309,0.95563,0.41993,0.31913,0.26849,0.10825,2.42345,2.43097,1.68952,0.000416,0.000416,0.000416
242,30908.7,1.07637,0.65475,0.93094,0.45088,0.31913,0.27273,0.10873,2.44408,2.40194,1.72097,0.0004094,0.0004094,0.0004094
243,31028.1,1.08405,0.6773,0.93309,0.50264,0.31913,0.28327,0.11313,2.43925,2.38134,1.71751,0.0004028,0.0004028,0.0004028
244,31148.1,1.0758,0.66257,0.93298,0.50055,0.30398,0.27664,0.11161,2.41718,2.39099,1.70112,0.0003962,0.0003962,0.0003962
245,31267.6,1.06336,0.65,0.9261,0.50683,0.30364,0.28096,0.11096,2.43233,2.40202,1.72123,0.0003896,0.0003896,0.0003896
246,31387.6,1.09559,0.67675,0.95233,0.53421,0.2803,0.27257,0.10985,2.43755,2.47267,1.71651,0.000383,0.000383,0.000383
247,31508,1.05311,0.65503,0.93176,0.50687,0.28812,0.2741,0.10956,2.42222,2.42712,1.73302,0.0003764,0.0003764,0.0003764
248,31627.5,1.10014,0.67498,0.94897,0.50862,0.29545,0.27768,0.11291,2.41452,2.35791,1.73155,0.0003698,0.0003698,0.0003698
249,31747.8,1.09264,0.67952,0.93542,0.49175,0.30419,0.27968,0.11262,2.41218,2.33068,1.7314,0.0003632,0.0003632,0.0003632
250,31872.9,1.06869,0.64441,0.93441,0.48488,0.3004,0.27285,0.10842,2.45701,2.43877,1.7453,0.0003566,0.0003566,0.0003566
251,32017,1.03994,0.64377,0.92366,0.43721,0.31046,0.26751,0.10631,2.4488,2.57682,1.71314,0.00035,0.00035,0.00035
252,32145.6,1.07651,0.67775,0.94172,0.47687,0.28883,0.27239,0.10925,2.43969,2.49771,1.71368,0.0003434,0.0003434,0.0003434
253,32269,1.08487,0.67216,0.93203,0.44611,0.31913,0.27218,0.10814,2.46085,2.4159,1.74059,0.0003368,0.0003368,0.0003368
254,32390.7,1.03885,0.6512,0.92582,0.4842,0.30019,0.26719,0.10413,2.46993,2.39559,1.74763,0.0003302,0.0003302,0.0003302
255,32517,1.07529,0.67009,0.92386,0.50483,0.29072,0.26452,0.10616,2.46415,2.43318,1.73454,0.0003236,0.0003236,0.0003236
256,32651.9,1.01767,0.63061,0.92029,0.51518,0.28504,0.26532,0.1055,2.4794,2.49477,1.72635,0.000317,0.000317,0.000317
257,32786.9,1.05378,0.65645,0.92984,0.5217,0.28883,0.2694,0.10633,2.45067,2.51991,1.71648,0.0003104,0.0003104,0.0003104
258,32921.8,1.07376,0.65722,0.93479,0.50137,0.28977,0.26376,0.1034,2.44497,2.48131,1.72702,0.0003038,0.0003038,0.0003038
259,33056.5,1.10215,0.67941,0.9412,0.5459,0.2803,0.26997,0.10861,2.42146,2.48205,1.7179,0.0002972,0.0002972,0.0002972
260,33191.6,1.03371,0.63372,0.92719,0.5233,0.29356,0.26937,0.10763,2.44198,2.52281,1.71491,0.0002906,0.0002906,0.0002906
261,33326.7,1.04978,0.64257,0.93299,0.49372,0.29356,0.26549,0.10819,2.42604,2.51926,1.69404,0.000284,0.000284,0.000284
262,33461.7,1.0728,0.65322,0.92151,0.46645,0.29735,0.26202,0.10625,2.42002,2.53151,1.68493,0.0002774,0.0002774,0.0002774
263,33599.2,1.06347,0.65903,0.91876,0.48134,0.28977,0.26552,0.11004,2.42718,2.53931,1.6934,0.0002708,0.0002708,0.0002708
264,33734.3,1.00763,0.63504,0.91509,0.50229,0.27715,0.2663,0.1085,2.43152,2.55726,1.70261,0.0002642,0.0002642,0.0002642
265,33869.8,1.02813,0.63256,0.91927,0.50858,0.2803,0.26656,0.10733,2.4326,2.44077,1.70344,0.0002576,0.0002576,0.0002576
266,34001.9,1.06435,0.64866,0.93007,0.48518,0.28598,0.26995,0.10765,2.43611,2.48042,1.70764,0.000251,0.000251,0.000251
267,34123,1.04064,0.63709,0.92992,0.4795,0.2803,0.26427,0.10685,2.43995,2.51466,1.70797,0.0002444,0.0002444,0.0002444
268,34244.2,1.04934,0.63765,0.92343,0.50525,0.29012,0.26247,0.10621,2.43473,2.49585,1.71003,0.0002378,0.0002378,0.0002378
